TYPE,RC,Site,MRBTS_Id,MRBTS_Name,NRBTS_Name,NRBTS_Id,LNBTS_Name,LNBTS_Id,RNC_Name,RNC_Id,WBTS_Name,WBTS_Id,BSC_Name,BSC_Id,BCF_Name,BCF_Id,SMOD,BBMOD,RMOD_5G,RMOD_LTE,RMOD_3G,RMOD_2G,RMOD_RFS_SA,TECH_RFS_SA,creation_date
SRAN/LTE,rc8,CF02117,81329,CF02117GU-81329,,,,,RTORD,357,CF02117U100,4252,BLAU5,405956,CF02117G100,733,FSMF,FBBA+FBBA,,,FXFC-3,FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02117,40,CF02117L100,,,CF02117L100,40,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02118,70414,CF02118UL-70414,,,CF02118L100,9047,RJONG,371,CF02118U100,5851,,,,,ASIB,ABIA+ABIO,,AHHB-4/AHHB-5/AHHB-6/AHPB-7/AHPB-8/AHFIG-1/AHFIG-2/AHFIG-3,AHFIG-1/AHFIG-2/AHFIG-3,,,,7/23/24
SRAN/LTE,rc8,CF02119,70341,CF02119L-70341,,,CF02119L200,7749,,,,,,,,,FSMF,FBBA,,FXFC-1,,,,,7/23/24
SRAN/LTE,rc8,CF02119,1975,CF02119L100,,,CF02119L100,1975,,,,,,,,,FSMF,FBBC+FBBC,,FRIJ-1/FRIJ-2/FRIJ-3/FRPA-4,,,,,7/23/24
SRAN/LTE,rc8,CF02122,81374,CF02122GL-81374,,,CF02122L200,6915,,,,,BJONO,405953,CF02122G100,823,FSMF,FBBA+FBBA,,FXFC-1,,FXFC-1,,,7/23/24
SRAN/LTE,rc8,CF02122,1083,CF02122L100,,,CF02122L100,1083,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02125,81464,CF02125GU-81464,,,,,RJONG,371,CF02125U100,1598,BJONO,405953,CF02125G100,207,FSMF,FBBA+FBBA,,,FXFC-1,FXFC-1,,,7/23/24
SRAN/LTE,rc8,CF02125,339,CF02125L100,,,CF02125L100,339,,,,,,,,,ASIA,ABIA,,FRIG-1/FRIG-2/FRIG-3/FRPA-4/FXFC-5,,,,,7/23/24
SRAN/LTE,rc8,CF02126,71314,CF02126GUL-71314,,,CF02126L100,403,RJONG,371,CF02126U100,4195,BJONO,405953,CF02126G100,2298,ASIB,ABIA+ABIA+ABIO,,AHFIB-3/AHFIB-4/AHFIB-5/FRPA-6/AHHB-7/AHHB-8/AHHB-9,FXFC-1/FXFC-2,FXFC-1/FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02127,70304,CF02127UL-70304,,,CF02127L100,30045,RJONG,371,CF02127U100,8130,,,,,ASIB,ABIA+ABIO,,AHFIG-1/AHFIG-2/AHFIG-3/AHHB-4/AHHB-5/AHHB-6/AHPB-7/AHPB-8,AHFIG-1/AHFIG-2/AHFIG-3,,,,7/23/24
SRAN/LTE,rc8,CF02128,71075,CF02128UL-71075,,,CF02128L100,1857,RJONG,371,CF02128U100,1434,,,,,ASIA,ABIA+ABIA+ABIA,,AHFIG-1/AHFIG-2/AHFIG-3/FRPA-4/AHHB-5/AHHB-6/AHHB-7,AHFIG-1/AHFIG-2/AHFIG-3,,,,7/23/24
SRAN/LTE,rc8,CF02129,1988,CF02129L100,,,CF02129L100,1988,,,,,,,,,FSMF,FBBC+FBBC,,FRIJ-1/FRIJ-2/FRIJ-3/FRPA-4,,,,,7/23/24
SRAN/LTE,rc8,CF02131,81030,CF02131GUL-81030,,,CF02131L200,30062,RTORH,369,CF02131U100,4357,BSAL3,403163,CF02131G100,1783,FSMF,FBBA+FBBA,,FXFC-2/FXFC-3,FXFC-2/FXFC-3,FXFC-2/FXFC-3,,,7/23/24
SRAN/LTE,rc8,CF02131,1566,CF02131L100,,,CF02131L100,1566,,,,,,,,,FSMF,FBBC+FBBC,,FRIJ-1/FRIJ-2/FRIJ-3/FRPA-4,,,,,7/23/24
SRAN/LTE,rc8,CF02132,70212,CF02132UL-70212,,,CF02132L100,4367,RJONG,371,CF02132U100,5479,,,,,ASIA,ABIA+ABIA+ABIA,,AHFIB-2/AHFIB-3/AHFIB-4/FRPA-5,FXFC-1,,,,7/23/24
SRAN/LTE,rc8,CF02133,192,CF02133L100,,,CF02133L100,192,,,,,,,,,ASIA,ABIA,,FRIG-1/FXFC-4/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02133,81882,CF02133GU-81882,,,,,RJOND,356,CF02133U100,4093,BLAU5,405956,CF02133G100,2616,FSMF,FBBA+FBBA,,,FXFC-2,FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02134,71040,CF02134GU-71040,,,,,RJOND,356,CF02134U100,4389,BSAL3,403163,CF02134G100,835,FSMF,FBBA+FBBA,,,FXFC-1,FXFC-1,,,7/23/24
SRAN/LTE,rc8,CF02134,990,CF02134L100,,,CF02134L100,990,,,,,,,,,ASIA,ABIA+ABIA,,FRIG-1/FRIG-2/FRIG-3/FRPA-4/FXFC-5,,,,,7/23/24
SRAN/LTE,rc8,CF02136,70593,CF02136GU-70593,,,,,RTORH,369,CF02136U100,4198,BJONN,374651,CF02136G100,261,FSMF,FBBA+FBBA,,,FXFC-2,FXFC-1,,,7/23/24
SRAN/LTE,rc8,CF02137,2327,CF02137L100,,,CF02137L100,2327,,,,,,,,,FSMF,FBBC,,FRIJ-1/FRIJ-2,,,,,7/23/24
